term,estimate_log_exponent,ci_low,ci_high,theoretical_exponent,difference_from_theory,n_bootstrap
log10_period,-1.3377731575218317,-1.3528312646063105,-1.3247894044439037,-1.3333333333333333,-0.00443982418849842,800
log10_teff,4.031065214472846,3.8675302144330352,4.257673546422686,4.0,0.031065214472845604,800
log10_radius,1.862984568738044,1.7054516883724746,1.9144973265985505,2.0,-0.13701543126195603,800
log10_stellar_mass,-0.5503058390100862,-0.6380496235124202,-0.4288586904125773,-0.6666666666666666,0.1163608276565804,800
intercept,-11.743212943830928,-12.593461971393936,-11.126471920537057,,,800
