term,estimate,ci_low,ci_high,bootstrap_probability_positive,n_bootstrap
intercept,-4.293779537942628,-4.521111525142478,-3.4472032599140086,0.0,500
standardized_log_period,3.0581528454635363,1.7694810130842846,2.947180920028096,1.0,500
standardized_log_period_squared,-0.6042929670829021,-0.6507082445850699,-0.09068477264923869,0.012,500
standardized_log_teff,-1.7722081544990818,-1.9485408532722868,-1.0120898734533499,0.0,500
period_temperature_interaction,0.3675924231374958,-0.6216819378562157,0.5219016437854685,0.638,500
