repeat,fold,model,threshold
11,4,Additive logistic,0.2049999999999999
11,4,Interaction logistic,0.2049999999999999
11,5,Additive logistic,0.2100644864004379
11,5,Interaction logistic,0.2024999999999999
12,0,Additive logistic,0.1624999999999999
12,0,Interaction logistic,0.1824999999999999
12,1,Additive logistic,0.2399999999999999
12,1,Interaction logistic,0.2439103686932243
12,2,Additive logistic,0.2174999999999999
12,2,Interaction logistic,0.2049999999999999
12,3,Additive logistic,0.2587110573283026
12,3,Interaction logistic,0.281145230916749
12,4,Additive logistic,0.3536828003657699
12,4,Interaction logistic,0.2374999999999999
12,5,Additive logistic,0.1975968203255951
12,5,Interaction logistic,0.2749999999999999
13,0,Additive logistic,0.3424999999999999
13,0,Interaction logistic,0.3485942671940656
13,1,Additive logistic,0.2474999999999999
13,1,Interaction logistic,0.2424999999999999
13,2,Additive logistic,0.1999999999999999
13,2,Interaction logistic,0.2478005081426048
13,3,Additive logistic,0.2806942475535263
13,3,Interaction logistic,0.2894943317603921
13,4,Additive logistic,0.1749999999999999
13,4,Interaction logistic,0.1624999999999999
13,5,Additive logistic,0.1874999999999999
13,5,Interaction logistic,0.1949999999999999
14,0,Additive logistic,0.1774999999999999
14,0,Interaction logistic,0.1949999999999999
14,1,Additive logistic,0.2724999999999999
14,1,Interaction logistic,0.295
14,2,Additive logistic,0.2024999999999999
14,2,Interaction logistic,0.3274999999999999
14,3,Additive logistic,0.2574999999999999
14,3,Interaction logistic,0.2580754839480635
14,4,Additive logistic,0.2124999999999999
14,4,Interaction logistic,0.1874999999999999
14,5,Additive logistic,0.2180943572552923
14,5,Interaction logistic,0.1874999999999999
