discovery_method,model,rows,hosts,positive_hosts,observed_hz_prevalence,observed_ci_low,observed_ci_high,mean_predicted_probability,predicted_ci_low,predicted_ci_high,calibration_gap,n_bootstrap
Transit,Full stellar structure,306,232,16,0.0556547619047619,0.0286578920361248,0.0850646551724137,0.056339885397141,0.0421071840504123,0.0724246311547345,0.0006851234923791,2000
Transit,Method-adjusted full,306,232,16,0.0556547619047619,0.0286578920361248,0.0850646551724137,0.0566825559296755,0.0423399418328289,0.0728446041886213,0.0010277940249135,2000
Radial Velocity,Full stellar structure,60,37,10,0.2027027027027027,0.0945945945945946,0.3288288288288288,0.2126548317690064,0.1546300613762108,0.2765109433732109,0.0099521290663037,2000
Radial Velocity,Method-adjusted full,60,37,10,0.2027027027027027,0.0945945945945946,0.3288288288288288,0.2093696776562095,0.151574531365308,0.271707164906644,0.0066669749535068,2000
