model,term,estimate,ci_low,ci_high,bootstrap_probability_positive,n_bootstrap
Chunk 4 interaction,period_x_teff,0.3675924231375061,-0.44370379422656,0.7916899010356707,0.784,500
Chunk 4 interaction,z_log_teff,-1.7722081544990944,-2.264524090947014,-1.0951009929824385,0.0,500
Full stellar structure,period_x_teff,0.073867228138746,-0.798060555319356,0.5214962515633744,0.506,500
Full stellar structure,z_log_teff,-0.2252041005472977,-0.9176227281865944,0.5219355556638866,0.3,500
Method-adjusted full,period_x_teff,0.0816869117470038,-0.7773972106884576,0.5339816543542281,0.508,500
Method-adjusted full,rv_vs_transit_log_odds,-0.0625861899649115,-1.2094365927067656,0.8655248479843306,0.416,500
Method-adjusted full,rv_vs_transit_odds_ratio,0.939332098323768,0.298365531171034,2.376262792791904,1.0,500
Method-adjusted full,standardized_probability_difference_rv_minus_transit,-0.0029747178252427,-0.044271946083207,0.0425245843456204,0.416,500
Method-adjusted full,z_log_teff,-0.2225600885716791,-0.8981544635994612,0.5150636448001683,0.298,500
