slice,n,base_rate,pr_auc,recall,precision
Sex=female,61,0.7377049180327869,0.9312353400577531,0.8666666666666667,0.8478260869565217
Sex=male,118,0.2033898305084746,0.4233578306800808,0.4166666666666667,0.4166666666666667
Pclass=1,45,0.5555555555555556,0.8017859650250986,0.76,0.6129032258064516
Pclass=2,34,0.5882352941176471,0.9437237772976937,0.85,0.9444444444444444
Pclass=3,100,0.24,0.6499774649478768,0.5416666666666666,0.6190476190476191
