row_id,planet_name,planet_host,discovery_method_group,orbital_period_days,planet_mass_earth,cluster_numeric_id,cluster_label,hz_reported,hz_derived,flux_zone_reported,flux_zone_derived,giant_or_evolved_host_flag,compact_or_hot_subdwarf_host_flag,ultra_short_period_flag,high_mass_companion_flag,extreme_wide_period_flag
361,HATS-13 b,HATS-13,Transit,3.0440499,172.58169,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
362,HATS-14 b,HATS-14,Transit,2.7667641,340.39593,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
363,HATS-15 b,HATS-15,Transit,1.74748753,689.6911,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
364,HATS-16 b,HATS-16,Transit,2.686502,1039.3041,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
365,HATS-17 b,HATS-17,Transit,16.254611,425.25654,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
366,HATS-18 b,HATS-18,Transit,0.83784,629.14449,1,Hot/warm giants,,0.0,,too_hot,False,False,True,False,False
367,HATS-2 b,HATS-2,Transit,1.354133,427.463,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
368,HATS-22 b,HATS-22,Transit,4.7228124,870.8542,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
369,HATS-23 b,HATS-23,Transit,2.1605156,467.2101,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
370,HATS-24 b,HATS-24,Transit,1.3484978,718.2958,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
371,HATS-25 b,HATS-25,Transit,4.2986432,194.82979,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
372,HATS-26 b,HATS-26,Transit,3.3023881,206.5895,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
373,HATS-27 b,HATS-27,Transit,4.637038,168.4499,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
374,HATS-28 b,HATS-28,Transit,3.1810781,213.58176,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
375,HATS-29 b,HATS-29,Transit,4.6058749,207.54299,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
376,HATS-3 b,HATS-3,Transit,3.547851,340.382,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
377,HATS-30 b,HATS-30,Transit,3.1743516,224.38798,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
378,HATS-31 b,HATS-31,Transit,3.37796,279.6904,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
379,HATS-32 b,HATS-32,Transit,2.8126548,292.4036,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
380,HATS-33 b,HATS-33,Transit,2.5495551,378.85336,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
381,HATS-34 b,HATS-34,Transit,2.1061607,299.07803,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
382,HATS-35 b,HATS-35,Transit,1.8209993,388.38826,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
384,HATS-37 A b,HATS-37 A,Transit,4.3315366,31.46517,0,Low-mass short-period,0.0,0.0,too_hot,too_hot,False,False,False,False,False
385,HATS-38 b,HATS-38,Transit,4.375021,23.51942,0,Low-mass short-period,0.0,0.0,too_hot,too_hot,False,False,False,False,False
386,HATS-39 b,HATS-39,Transit,4.5776348,200.2329,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
387,HATS-4 b,HATS-4,Transit,2.516729,420.471,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
388,HATS-40 b,HATS-40,Transit,3.2642736,505.3497,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
389,HATS-41 b,HATS-41,Transit,4.193649,3082.951,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
390,HATS-42 b,HATS-42,Transit,2.292102,597.5204,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
391,HATS-43 b,HATS-43,Transit,4.3888497,82.95363,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
392,HATS-44 b,HATS-44,Transit,2.7439004,177.9848,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
393,HATS-45 b,HATS-45,Transit,4.1876244,222.481,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
394,HATS-46 b,HATS-46,Transit,4.7423729,54.98459,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
395,HATS-47 b,HATS-47,Transit,3.9228038,117.27927,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
396,HATS-48 A b,HATS-48 A,Transit,3.1316666,77.23269,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
397,HATS-49 b,HATS-49,Transit,4.1480467,112.19399,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
398,HATS-5 b,HATS-5,Transit,4.763387,75.323,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
399,HATS-50 b,HATS-50,Transit,3.8297015,123.9537,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
400,HATS-51 b,HATS-51,Transit,3.3488702,244.09344,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
401,HATS-52 b,HATS-52,Transit,1.36665436,711.9392,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
402,HATS-53 b,HATS-53,Transit,3.8537768,189.10885,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
403,HATS-54 b,HATS-54,Transit,2.5441828,241.5508,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
404,HATS-55 b,HATS-55,Transit,4.2042001,292.72143,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
405,HATS-56 b,HATS-56,Transit,4.324799,191.33366,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
406,HATS-57 b,HATS-57,Transit,2.350621,1000.21101,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
407,HATS-58 A b,HATS-58 A,Transit,4.2180896,327.3649,1,Hot/warm giants,,0.0,,too_hot,False,False,False,False,False
408,HATS-59 b,HATS-59,Transit,5.416081,256.17098,1,Hot/warm giants,0.0,0.0,too_hot,too_hot,False,False,False,False,False
409,HATS-59 c,HATS-59,Radial Velocity,1422.0,4036.441,2,Long-period giants,0.0,0.0,too_cold,too_cold,False,False,False,False,False
