k,silhouette,calinski_harabasz,davies_bouldin,inertia,median_host_bootstrap_ari,ci_low_95,ci_high_95,mean_ari,minimum_ari,bootstrap_replicates
2,0.5045572639916905,2087.179675365619,0.7501549434740479,586.357066225578,,,,,,
3,0.563300039702375,3159.2699067564395,0.5820802872847026,282.4273542312286,0.9895085621459426,0.9789121852291894,0.9984052578836503,0.9888256846810105,0.9742746217262571,80.0
4,0.5044840176796846,2702.7212439830696,0.766080535882683,231.55367576329309,0.9435836494606283,0.6965471744410331,0.9929852901075602,0.9054481622765287,0.6928398806081694,80.0
5,0.43484713295647687,2500.5270314276804,0.9301951414116134,194.45094614054307,0.9464156006601947,0.7005176187630091,0.9854758007340617,0.9231838566835364,0.6415615848783203,80.0
6,0.3683471960768126,2355.3384051955663,0.9868569589422131,169.03884095285514,,,,,,
7,0.35128815393133317,2245.0845782405436,0.9771899001466418,150.27421987780858,,,,,,
