target,cluster_label,eligible_planets,eligible_hosts,positive_planets,positive_hosts,rate,ci_low_95,ci_high_95,ci_method,rate_difference_vs_overall,rd_ci_low_95,rd_ci_high_95,bootstrap_probability_highest_rate,bootstrap_replicates
hz_reported,Low-mass short-period,126,76,11,7,0.0873015873015873,0.027516680567139285,0.1527777777777778,Host-level percentile bootstrap,0.013227513227513227,-0.025121470456313362,0.052232248490707574,0.0346,5000
hz_reported,Intermediate-mass moderate-period,25,21,5,4,0.2,0.041666666666666664,0.3793103448275862,Host-level percentile bootstrap,0.12592592592592594,-0.02517863777089784,0.2895414123337944,0.5332,5000
hz_reported,Hot/warm giants,81,81,0,0,0.0,0.0,0.030442823973580477,Jeffreys interval (zero-event cell),-0.07407407407407407,-0.11508007879410756,-0.03543219984670059,0.0,5000
hz_reported,Long-period giants,11,11,2,2,0.18181818181818182,0.0,0.4444444444444444,Host-level percentile bootstrap,0.10774410774410775,-0.08230573710965867,0.3596508002521129,0.4322,5000
hz_derived,Low-mass short-period,348,215,13,9,0.03735632183908046,0.014387972380716117,0.06340057636887608,Host-level percentile bootstrap,-0.043180590912597384,-0.06601892471405181,-0.019705372399909913,0.0,5000
hz_derived,Intermediate-mass moderate-period,153,123,23,21,0.1503267973856209,0.09285714285714286,0.2129032258064516,Host-level percentile bootstrap,0.06978988463394306,0.01753342390399679,0.126365047737012,0.104,5000
hz_derived,Hot/warm giants,557,549,0,0,0.0,0.0,0.004497603075155535,Jeffreys interval (zero-event cell),-0.08053691275167785,-0.09523809523809523,-0.06675565217161106,0.0,5000
hz_derived,Long-period giants,432,389,84,84,0.19444444444444445,0.15858536153549746,0.23255940343781595,Host-level percentile bootstrap,0.1139075316927666,0.08678578462651756,0.14334976839602578,0.896,5000
