row_id,planet_name,planet_host,num_stars,num_planets,discovery_method,discovery_year,discovery_facility,orbital_period_days,semi_major_axis_au,planet_mass_earth,eccentricity,insolation_flux_earth,equilibrium_temperature_k,spectral_type,stellar_teff_k,stellar_radius_solar,stellar_mass_solar,stellar_metallicity_dex,stellar_metallicity_ratio_raw,stellar_logg_cgs,distance_pc,gaia_magnitude,stellar_metallicity_ratio_clean,discovery_method_group,hz_reported,flux_zone_reported,log10_insolation_reported,log10_orbital_period_days,log10_semi_major_axis_au,log10_planet_mass_earth,stellar_teff_1000k,stellar_luminosity_solar,semi_major_axis_kepler_au,semi_major_axis_best_au,semi_major_axis_source,insolation_derived_earth,log10_insolation_derived,hz_derived,flux_zone_derived,earth_equivalent_period_days,period_to_earth_equivalent_ratio,log10_period_to_earth_equivalent_ratio,stellar_logg_calculated_cgs,reported_to_derived_flux_ratio,reported_derived_zone_agreement,orbital_period_days_missing,semi_major_axis_au_missing,planet_mass_earth_missing,eccentricity_missing,insolation_flux_earth_missing,equilibrium_temperature_k_missing,spectral_type_missing,stellar_teff_k_missing,stellar_radius_solar_missing,stellar_mass_solar_missing,stellar_metallicity_dex_missing,stellar_metallicity_ratio_raw_missing,stellar_logg_cgs_missing,distance_pc_missing,gaia_magnitude_missing,eligible_reported_core_model,eligible_derived_flux_analysis,compact_or_hot_subdwarf_host_flag,giant_or_evolved_host_flag,ultra_short_period_flag,high_mass_companion_flag,extreme_wide_period_flag,host_regime_annotation,cluster_numeric_id,cluster_label
2293,Kepler-150 c,Kepler-150,1,5,Transit,2014,Kepler,7.381998,0.073,,,,,,5560.0,0.94,,,,4.47,891.092,14.9743,,Transit,,,,0.8681739231965279,-1.136677139879544,,5.56,0.7607633529322998,,0.073,catalog_semi_major_axis,142.75912046018013,2.154603863600889,0.0,too_hot,,,,,,,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2294,Kepler-150 d,Kepler-150,1,5,Transit,2014,Kepler,12.56093,0.104,,,,,,5560.0,0.94,,,,4.47,891.092,14.9743,,Transit,,,,1.0990217953658137,-0.9829666607012196,,5.56,0.7607633529322998,,0.104,catalog_semi_major_axis,70.33684845897743,1.84718290524424,0.0,too_hot,,,,,,,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2295,Kepler-150 e,Kepler-150,1,5,Transit,2014,Kepler,30.826557,0.189,,,,,,5560.0,0.94,,,,4.47,891.092,14.9743,,Transit,,,,1.4889250213401533,-0.7235381958267558,,5.56,0.7607633529322998,,0.189,catalog_semi_major_axis,21.2973699765488,1.3283259754953125,0.0,too_hot,,,,,,,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2296,Kepler-150 f,Kepler-150,1,5,Transit,2017,Kepler,637.2093,1.24,,,,,,5528.0,0.91,0.97,,,4.51,891.092,14.9743,,Transit,,,,2.804282105655785,0.093421685162235,,5.528,0.6967061311392473,1.4345592785909385,1.24,catalog_semi_major_axis,0.453112728368397,-0.3437937379035414,1.0,habitable_zone,282.8079292024451,2.2531521722075207,0.3527905238668765,4.506688949624058,,,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2297,Kepler-1500 b,Kepler-1500,1,1,Transit,2016,Kepler,15.0330105,,,,,,,5845.0,1.0,1.0,-0.05,[Fe/H],4.44,1217.82,14.5804,[Fe/H],Transit,,,,1.1770459608008252,,,5.845,1.0515568875720878,0.1192075669770503,0.1192075669770503,kepler_from_period,73.99887616126615,1.8692251240462885,0.0,too_hot,379.2842457122138,0.0396352093975621,-1.4019188430347165,4.438,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2298,Kepler-1501 b,Kepler-1501,1,1,Transit,2016,Kepler,14.5564533,,,,,,,6229.0,1.3,1.2,0.04,[Fe/H],4.28,749.06,13.6458,[Fe/H],Transit,,,,1.1630555714142894,,,6.229,2.2922117711558454,0.1239854282848295,0.1239854282848295,kepler_from_period,149.11229183868923,2.173513445315388,0.0,too_hot,621.1416557484084,0.0234349977421189,-1.630135083986541,4.289294541433951,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2299,Kepler-1502 b,Kepler-1502,1,1,Transit,2016,Kepler,41.7083629,,,,,,,6666.0,1.72,1.44,0.05,[Fe/H],4.13,1514.02,14.0931,[Fe/H],Transit,,,,1.6202231436351002,,,6.666,5.262751230052422,0.2657925334418989,0.2657925334418989,kepler_from_period,74.49502804578931,1.872127287992129,0.0,too_hot,1057.593102248736,0.039437060256271,-1.4040954659940963,4.125305598280152,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2300,Kepler-1503 b,Kepler-1503,1,1,Transit,2016,Kepler,96.16987,,,,,,,5069.0,0.74,0.77,-0.19,[Fe/H],4.59,1225.57,15.7862,[Fe/H],Transit,,,,1.983039028978193,,,5.069,0.3257221664131752,0.3765269889556165,0.3765269889556165,kepler_from_period,2.297497735804267,0.3612550920589335,0.0,too_hot,179.4652416343941,0.5358690581205519,-0.2709413190442001,4.5860272857105295,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2301,Kepler-1504 b,Kepler-1504,1,1,Transit,2016,Kepler,82.304003,,,,,,,5393.0,0.81,0.85,-0.17,[Fe/H],4.55,2435.94,15.6311,[Fe/H],Transit,,,,1.9154209584022253,,,5.393,0.5000189102088383,0.3507735174639961,0.3507735174639961,kepler_from_period,4.063804750645664,0.6089328336867398,0.0,too_hot,235.57032639002276,0.3493818778504943,-0.4566996252650549,4.550448887956993,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2302,Kepler-1505 b,Kepler-1505,1,1,Transit,2016,Kepler,30.8609366,,,,,,,5686.0,0.86,0.93,-0.18,[Fe/H],4.54,495.148,12.9258,[Fe/H],Transit,,,,1.4894091023505671,,,5.686,0.6964966537168626,0.1879490931875128,0.1879490931875128,kepler_from_period,19.71689687031046,1.2948385648574017,0.0,too_hot,288.76066014277023,0.1068737569194557,-0.9711289236430511,4.537486046066799,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2303,Kepler-1506 b,Kepler-1506,1,1,Transit,2016,Kepler,14.0329154,,,,,,,5676.0,0.93,0.95,-0.05,[Fe/H],4.49,2366.02,15.6243,[Fe/H],Transit,,,,1.1471479069941566,,,5.676,0.8087795369321088,0.1119299535043564,0.1119299535043564,kepler_from_period,64.55613302824167,1.809937507854128,0.0,too_hot,319.5957812563012,0.0439083248997778,-1.357453130890596,4.478757708180977,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2304,Kepler-1507 b,Kepler-1507,1,1,Transit,2016,Kepler,16.0506213,,,,,,,5410.0,0.85,0.89,-0.03,[Fe/H],4.53,320.478,13.1038,[Fe/H],Transit,,,,1.2054918480766663,,,5.41,0.5575985325812535,0.1197837075332247,0.1197837075332247,kepler_from_period,38.86208700815759,1.589526119778652,0.0,too_hot,249.8253116830052,0.0642473782655221,-1.192144589833989,4.528552155216326,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2305,Kepler-1508 b,Kepler-1508,1,1,Transit,2016,Kepler,20.7056504,,,,,,,6158.0,1.22,1.14,0.01,[Fe/H],4.32,1260.28,14.3466,[Fe/H],Transit,,,,1.3160888769873766,,,6.158,1.9282933784405976,0.1541584678723017,0.1541584678723017,kepler_from_period,81.14062324168421,1.909238339200016,0.0,too_hot,559.7803268666393,0.0369888854720913,-1.431928754400012,4.322185189986976,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2306,Kepler-1509 b,Kepler-1509,1,1,Transit,2016,Kepler,25.4338197,,,,,,,5780.0,0.99,1.0,0.03,[Fe/H],4.45,2002.96,15.3316,[Fe/H],Transit,,,,1.4054115882551346,,,5.78,0.9855449869070656,0.1692573651068505,0.1692573651068505,kepler_from_period,34.401810691499634,1.536581301659656,0.0,too_hot,361.2830315880727,0.0703986002005184,-1.152435976244742,4.4467296108049,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2307,Kepler-151 b,Kepler-151,1,2,Transit,2014,Kepler,15.228958,0.116,,,,,,5460.0,0.83,,,,4.55,649.919,14.7189,,Transit,,,,1.1826701889347608,-0.9355420107730816,,5.46,0.551596454360111,,0.116,catalog_semi_major_axis,40.99260213734475,1.6127054874314333,0.0,too_hot,,,,,,,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2308,Kepler-151 c,Kepler-151,1,2,Transit,2014,Kepler,24.674612,0.16,,,,,,5460.0,0.83,,,,4.55,649.919,14.7189,,Transit,,,,1.392250332260263,-0.7958800173440752,,5.46,0.551596454360111,,0.16,catalog_semi_major_axis,21.546736498441835,1.3333815005734209,0.0,too_hot,,,,,,,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2309,Kepler-1510 b,Kepler-1510,1,1,Transit,2016,Kepler,84.703921,,,,,,,6200.0,1.28,1.19,0.04,[Fe/H],4.29,1696.25,15.1424,[Fe/H],Transit,,,,1.927903514572141,,,6.2,2.18112927868326,0.399998025105351,0.399998025105351,kepler_from_period,13.632192602159192,1.13456571338683,0.0,too_hot,600.9354157129176,0.1409534515443923,-0.8509242850401224,4.299127022096794,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2310,Kepler-1511 b,Kepler-1511,1,1,Transit,2016,Kepler,23.2382792,,,,,,,6064.0,1.29,1.17,0.14,[Fe/H],4.28,1475.6,13.5024,[Fe/H],Transit,,,,1.3662039653011715,,,6.064,2.027266768707786,0.1679336707524305,0.1679336707524305,kepler_from_period,71.88451374025254,1.8566353393181023,0.0,too_hot,573.6942139570945,0.0405063858666316,-1.392476504488577,4.285006441147663,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2311,Kepler-1512 b,Kepler-1512,1,1,Transit,2016,Kepler,20.35972599,,,,,,,4372.0,0.67,0.73,0.2,[Fe/H],4.64,,13.2634,[Fe/H],Transit,,,,1.308771928781039,,,4.372,0.1477627376498797,0.1313899324902793,0.1313899324902793,kepler_from_period,8.559349298183678,0.9324407498465768,0.0,too_hot,101.88317985194831,0.1998340257890042,-0.6993305623849327,4.649173254718803,,,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
2312,Kepler-1513 b,Kepler-1513,1,1,Transit,2016,Kepler,160.8846509,,,,,,,5617.0,0.97,0.99,0.14,[Fe/H],4.46,349.247,12.9559,[Fe/H],Transit,,,,2.206514612480594,,,5.617,0.8438317737835682,0.5769807494180954,0.5769807494180954,kepler_from_period,2.534738885778448,0.4039332274538527,0.0,too_hot,323.1949253472207,0.4977944833977682,-0.3029499205903895,4.46009172606506,,,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,Ordinary dwarf / unflagged,,
