row_id,planet_name,planet_host,num_stars,num_planets,discovery_method,discovery_year,discovery_facility,orbital_period_days,semi_major_axis_au,planet_mass_earth,eccentricity,insolation_flux_earth,equilibrium_temperature_k,spectral_type,stellar_teff_k,stellar_radius_solar,stellar_mass_solar,stellar_metallicity_dex,stellar_metallicity_ratio_raw,stellar_logg_cgs,distance_pc,gaia_magnitude,stellar_metallicity_ratio_clean,discovery_method_group,hz_reported,flux_zone_reported,log10_insolation_reported,log10_orbital_period_days,log10_semi_major_axis_au,log10_planet_mass_earth,stellar_teff_1000k,stellar_luminosity_solar,semi_major_axis_kepler_au,semi_major_axis_best_au,semi_major_axis_source,insolation_derived_earth,log10_insolation_derived,hz_derived,flux_zone_derived,earth_equivalent_period_days,period_to_earth_equivalent_ratio,log10_period_to_earth_equivalent_ratio,stellar_logg_calculated_cgs,reported_to_derived_flux_ratio,reported_derived_zone_agreement,orbital_period_days_missing,semi_major_axis_au_missing,planet_mass_earth_missing,eccentricity_missing,insolation_flux_earth_missing,equilibrium_temperature_k_missing,spectral_type_missing,stellar_teff_k_missing,stellar_radius_solar_missing,stellar_mass_solar_missing,stellar_metallicity_dex_missing,stellar_metallicity_ratio_raw_missing,stellar_logg_cgs_missing,distance_pc_missing,gaia_magnitude_missing,eligible_reported_core_model,eligible_derived_flux_analysis
4225,TOI-1601 b,TOI-1601,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),5.331751,0.06864,314.6517,0.036,,1619.0,,5948.0,2.19,1.52,0.329,[Fe/H],3.94,336.608,10.5276,[Fe/H],Transit,,,,0.726869859074327,-1.163422725159351,2.497830082495787,5.948,5.408374785554376,0.06867536120172328,0.06864,catalog_semi_major_axis,1147.9216047550153,3.0599122297127783,0,too_hot,1050.6752818466489,0.005074594493770716,-2.2945986561051788,3.938955358264536,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4226,TOI-163 b,TOI-163,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),4.231306,0.058,387.7526,0.0,,1669.0,F,6495.0,1.65,1.44,0.22,[Fe/H],4.19,411.719,11.2193,[Fe/H],Transit,,,,0.6264744338177096,-1.2365720064370627,2.5885547185729854,6.495,4.364949468333825,0.0578154135990241,0.058,catalog_semi_major_axis,1297.5474043798529,3.1131232332522982,0,too_hot,919.1648199513365,0.004603424661339866,-2.3369189600246294,4.1613946036674365,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4227,TOI-1634 b,TOI-1634,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.989343,0.01545,4.91,0.16,121.0,924.0,M2,3550.0,0.45,0.5,0.23,[Fe/H],4.83,35.2736,12.1965,[Fe/H],Transit,0,too_hot,2.0827853703164503,-0.004653114690016092,-1.8110715162391466,0.6910814921229684,3.55,0.02897564752962853,0.015422724778290512,0.01545,catalog_semi_major_axis,121.388119226353,2.0841761825635303,0,too_hot,36.27689307989404,0.027271988199792378,-1.564283199692269,4.8305449767853315,0.9968026588695285,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4228,TOI-1685 b,TOI-1685,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0.6691403,,3.78,,217.0,1069.0,M3.0 V,3434.0,0.49,0.49,-0.13,[Fe/H],4.85,37.6153,12.2956,[Fe/H],Transit,0,too_hot,2.3364597338485296,-0.17448281328218068,,0.5774917998372253,3.434,0.030080706599537307,0.011803659368509353,0.011803659368509353,kepler_from_period,215.90102168467465,2.3342546975031357,0,too_hot,37.68844419514123,0.017754521691990276,-1.750691023127352,4.747803919971486,1.0050901950660076,True,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4229,TOI-169 b,TOI-169,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),2.2554477,0.03524,251.40353,0.0,1443.0,1715.0,G1 V,5880.0,1.29,1.15,0.24,[Fe/H],4.28,407.84,12.2379,[Fe/H],Transit,0,too_hot,3.159266331093494,0.35323276099934825,-1.4529641002599898,2.400371371395914,5.88,1.7921874640973816,0.0352636804759547,0.03524,catalog_semi_major_axis,1443.150538433216,3.159311635737205,0,too_hot,527.5685291539656,0.0042751748358017955,-2.3690461198430994,4.277518419755114,0.9998956876436609,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4230,TOI-172 b,TOI-172,1,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),9.47725,0.0914,1722.6386,0.3806,299.0,1198.0,,5645.0,1.78,1.13,0.148,[Fe/H],3.99,342.831,11.1927,[Fe/H],Transit,0,too_hot,2.4756711883244296,0.9766823370127437,-1.0390538042661686,3.236194174436624,5.645,2.89861476423558,0.09128951282522621,0.0914,catalog_semi_major_axis,346.9749393384192,2.5402981085082454,0,too_hot,763.2975665960389,0.012416193126704488,-1.906011540833812,3.9902384388656316,0.8617337049474135,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4231,TOI-1728 b,TOI-1728,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.49151,0.0391,26.78,0.057,57.78,767.0,M0,3980.0,0.62,0.65,0.25,[Fe/H],4.66,60.798,11.7294,[Fe/H],Transit,0,too_hot,1.7617775375081781,0.543013290237439,-1.407823242604133,1.4278105726759902,3.98,0.0868981193621538,0.039016936124274974,0.0391,catalog_semi_major_axis,56.84036561911146,1.7546568628136991,0,too_hot,72.50890213680876,0.048152846024509775,-1.3173780392515422,4.666129977646348,1.0165311107811137,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4232,TOI-1749 b,TOI-1749,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),2.38839,0.0291,57.0,0.14,,831.0,M0 V,3985.0,0.55,0.58,-0.26,[Fe/H],4.7,99.5561,13.1798,[Fe/H],Transit,,,,0.3781052441569073,-1.5361070110140926,1.7558748556724915,3.985,0.06872795034110712,0.029162136887896112,0.0291,catalog_semi_major_axis,81.16100464225401,1.9093474142593712,0,too_hot,64.37633851346249,0.0371004324748997,-1.4306210278413478,4.720702614574449,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4233,TOI-1749 c,TOI-1749,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),4.4929,0.0443,14.0,0.019,,673.0,M0 V,3985.0,0.55,0.58,-0.26,[Fe/H],4.7,99.5561,13.1798,[Fe/H],Transit,,,,0.6525267524609313,-1.3535962737769305,1.146128035678238,3.985,0.06872795034110712,0.04443928025442637,0.0443,catalog_semi_major_axis,35.0207900886665,1.5443259397850466,0,too_hot,64.37633851346249,0.0697911702303547,-1.156199519537324,4.720702614574449,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4234,TOI-1749 d,TOI-1749,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),9.0497,0.0707,15.0,0.062,,533.0,M0 V,3985.0,0.55,0.58,-0.26,[Fe/H],4.7,99.5561,13.1798,[Fe/H],Transit,,,,0.9566341824644194,-1.1505805862031007,1.1760912590556813,3.985,0.06872795034110712,0.07087699610628642,0.0707,catalog_semi_major_axis,13.749742490453544,1.1382945646373872,0,too_hot,64.37633851346249,0.14057494118133965,-0.8520920895338359,4.720702614574449,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
