stellar_teff_k,rf_peak_period_days,rf_peak_probability,logistic_peak_period_days,logistic_peak_probability
2800.0,173.9478264850578,0.6025067314520292,448.86402307269043,0.875979284476197
2840.2693513303925,173.9478264850578,0.6025486222797919,448.86402307269043,0.875995592271947
2881.1178528952732,173.9478264850578,0.6025800670358366,448.86402307269043,0.8759700027464303
2922.553833981881,173.9478264850578,0.6025969835978044,448.86402307269043,0.8758876105698014
2964.58574366852,173.9478264850578,0.6025938787722337,448.86402307269043,0.875728590757853
3007.2221525473974,173.9478264850578,0.6025633134670338,448.86402307269043,0.8754664228581098
3050.4717544722066,173.9478264850578,0.6024951354905527,489.26222694499216,0.8750814074450811
3094.3433683308763,173.9478264850578,0.6017119562276635,489.26222694499216,0.8745206991688024
3138.8459398437985,173.9478264850578,0.5973302379031118,489.26222694499216,0.862708153802829
3183.988543387921,173.9478264850578,0.5968610628696078,489.26222694499216,0.8619509698045517
3229.7803838470704,173.9478264850578,0.5932652865049203,489.26222694499216,0.8607492361801599
3276.230798488907,173.9478264850578,0.5907528971637803,489.26222694499216,0.8588994805294423
3323.349258868835,173.9478264850578,0.5880125080319625,489.26222694499216,0.850725150692353
3371.145372761329,173.9478264850578,0.5862392536244068,489.26222694499216,0.8413085192085391
3419.6288861190246,173.9478264850578,0.5800953235767793,489.26222694499216,0.8344962382512249
3468.8096850599823,173.9478264850578,0.5733905870180093,489.26222694499216,0.8243636324325689
3518.6977978835303,173.9478264850578,0.5519566564465695,489.26222694499216,0.8110126319627944
3569.3033971151176,173.9478264850578,0.526078127434834,489.26222694499216,0.7913225117890555
3620.636801580542,173.9478264850578,0.5198954207973909,489.26222694499216,0.7758285592024831
3672.7084785100383,173.9478264850578,0.5098156905348721,533.2963089278549,0.7650194608871492
3725.5290456726193,173.9478264850578,0.5031521949580068,533.2963089278549,0.7480208716520842
3779.1092735411075,173.9478264850578,0.484892591879436,533.2963089278549,0.7345564281111945
3833.460087488306,173.9478264850578,0.47861569635516354,533.2963089278549,0.7199078414577478
3888.5925700147695,173.9478264850578,0.4728819983796362,533.2963089278549,0.7009424165164818
3944.5179630085813,173.9478264850578,0.4651889987592295,533.2963089278549,0.678198494953084
4001.247670037664,173.9478264850578,0.4590343436099134,533.2963089278549,0.6609234056982223
4058.793258675041,173.9478264850578,0.4507297767500023,533.2963089278549,0.6397949203250349
4117.166462857544,173.9478264850578,0.4448141534762731,533.2963089278549,0.6254605761898011
4176.379185278442,173.9478264850578,0.43713999800931763,533.2963089278549,0.6065896785587638
4236.443499814477,173.9478264850578,0.43329257627707407,533.2963089278549,0.6017461268156812
4297.371653987827,225.26809002472953,0.41638403317947476,533.2963089278549,0.5775342172981129
4359.176071463434,225.26809002472953,0.40836686122031995,533.2963089278549,0.5648627255636229
4421.86935458229,225.26809002472953,0.4025974699468343,581.2935016298517,0.5564686952449265
4485.464286931134,225.26809002472953,0.3882856328139708,581.2935016298517,0.5411109702201524
4549.973835949117,225.26809002472953,0.3754631941875316,581.2935016298517,0.5284944012630413
4615.411155571942,225.26809002472953,0.3650267931091367,581.2935016298517,0.51640707033063
4681.78958891406,225.26809002472953,0.3492023784691968,581.2935016298517,0.5033888499142188
4749.122670989399,225.26809002472953,0.32358073388968095,581.2935016298517,0.48724701001983983
4817.424131471255,225.26809002472953,0.31398912424858405,581.2935016298517,0.47861595236674576
4886.7078974918695,225.26809002472953,0.2801602974479938,581.2935016298517,0.4562654462435061
4956.988096482261,225.26809002472953,0.26213099097201614,581.2935016298517,0.4390357551799954
5028.279059052903,225.26809002472953,0.24893560009354015,581.2935016298517,0.4290188858408909
5100.595321915849,225.26809002472953,0.2339772431441846,581.2935016298517,0.41075494599953016
5173.951630848841,225.26809002472953,0.20068539323259063,581.2935016298517,0.3827305273392532
