name,median_inner_pr_auc,inner_pr_auc_q1,inner_pr_auc_q3,median_inner_log_loss,inner_log_loss_q1,inner_log_loss_q3,within_one_se_share,selected_share,max_depth,positive_host_leaf_fraction,max_features,complexity_rank
Very shallow,0.41318094284368434,0.37701040785011053,0.4446225934994382,0.18472221292675384,0.17981650942995778,0.19153906500055462,0.18888888888888888,0.18888888888888888,2,0.5,2,1
Shallow,0.45129455472999314,0.42188350245467154,0.4794201342176053,0.16111977018788176,0.15610455515880411,0.1664302208103196,0.9888888888888889,0.8,3,0.4,3,2
Moderate,0.476193182571398,0.4398828021992891,0.5067766898575908,0.15470170303192982,0.14998480746719337,0.15865988053383917,1.0,0.011111111111111112,4,0.3,3,3
