stellar_teff_k,orbital_period_days,rf_probability,logistic_probability,rf_minus_logistic,local_neighbor_count,local_log10_teff_bandwidth
2800.0,0.7,0.1450225528572262,0.0009365248910377943,0.1440860279661884,90,0.12571357085826085
2800.0,0.7630006889770977,0.1450225528572262,0.0012259863883143033,0.1437965664689119,90,0.12571357085826085
2800.0,0.8316715019707511,0.1450225528572262,0.0015986770557004518,0.14342387580152574,90,0.12571357085826085
2800.0,0.9065227557232869,0.1450225528572262,0.0020764134697852737,0.14294613938744094,90,0.12571357085826085
2800.0,0.9881106959861216,0.1450225528572262,0.0026860071064515973,0.14233654575077462,90,0.12571357085826085
2800.0,1.0770416311757862,0.1450225528572262,0.0034601481628450154,0.1415624046943812,90,0.12571357085826085
2800.0,1.1739764380630602,0.1450225528572262,0.004438343782094748,0.14058420907513144,90,0.12571357085826085
2800.0,1.2796354729785626,0.1450225528572262,0.0056678662655871015,0.1393546865916391,90,0.12571357085826085
2800.0,1.3948039250316824,0.1450225528572262,0.007204642570698461,0.13781791028652773,90,0.12571357085826085
2800.0,1.520337651124477,0.1450225528572262,0.009113987548559835,0.13590856530866638,90,0.12571357085826085
2800.0,1.657169536122569,0.1450225528572262,0.011471052699295093,0.1335515001579311,90,0.12571357085826085
2800.0,1.8063164254476822,0.1450225528572262,0.014360835121882284,0.1306617177353439,90,0.12571357085826085
2800.0,1.9688866816103285,0.1450225528572262,0.017877576354894703,0.1271449765023315,90,0.12571357085826085
2800.0,2.1460884208378745,0.1450225528572262,0.022123389028651477,0.12289916382857473,90,0.12571357085826085
2800.0,2.339238491007243,0.1450225528572262,0.027205991895290795,0.11781656096193541,90,0.12571357085826085
2800.0,2.5497722576003894,0.1450225528572262,0.03323551758125418,0.11178703527597203,90,0.12571357085826085
2800.0,2.7792542704054104,0.1450225528572262,0.04032047851269763,0.10470207434452858,90,0.12571357085826085
2800.0,3.0293898902312417,0.1450225528572262,0.048563116040705935,0.09645943681652028,90,0.12571357085826085
2800.0,3.3020379620381313,0.1450617460010389,0.05805448318623096,0.08700726281480795,90,0.12571357085826085
2800.0,3.599224628662322,0.14541969887532585,0.06886968633012185,0.07655001254520401,90,0.12571357085826085
2800.0,3.9231583877895577,0.14793232802214926,0.08106371235755012,0.06686861566459913,90,0.12571357085826085
2800.0,4.276246504071018,0.14984552039706667,0.09466819884853364,0.055177321548533026,90,0.12571357085826085
2800.0,4.661112898345847,0.14984552039706667,0.10968939549131163,0.04015612490575504,90,0.12571357085826085
2800.0,5.080617646911311,0.15648353185128547,0.12610745183366684,0.03037608001761863,90,0.12571357085826085
2800.0,5.537878235746474,0.1605769022355352,0.14387706928686997,0.016699832948665227,90,0.12571357085826085
2800.0,6.036292727636905,0.17619714281918836,0.162929465647422,0.013267677171766357,90,0.12571357085826085
2800.0,6.579565014363433,0.17991549287864528,0.18317549591981788,-0.0032600030411726044,90,0.12571357085826085
2800.0,7.1717323416127225,0.1810446540925654,0.20450964479318343,-0.023464990700618027,90,0.12571357085826085
2800.0,7.817195311156917,0.18206848360326502,0.22681447602266386,-0.04474599241939883,90,0.12571357085826085
2800.0,8.520750583258952,0.18497368119444954,0.24996503966245306,-0.06499135846800352,90,0.12571357085826085
2800.0,9.287626522326553,0.21943160839325673,0.27383274605615865,-0.054401137662901916,90,0.12571357085826085
2800.0,10.123522050710184,0.2803015374741226,0.2982883332079661,-0.017986795733843486,90,0.12571357085826085
2800.0,11.03464899938101,0.2906077913175756,0.32320375779908517,-0.032595966481509586,90,0.12571357085826085
2800.0,12.027778270211655,0.3250492179991993,0.34845307345681226,-0.023403855457612976,90,0.12571357085826085
2800.0,13.110290152907504,0.32823678550901203,0.3739125577378032,-0.045675772228791156,90,0.12571357085826085
2800.0,14.290229170511559,0.3287814161532389,0.39946046239403876,-0.07067904624079985,90,0.12571357085826085
2800.0,15.576363861058477,0.331691775805499,0.4249767716898681,-0.09328499588436906,90,0.12571357085826085
2800.0,16.978251939636557,0.34315143307083396,0.45034327472762614,-0.10719184165679219,90,0.12571357085826085
2800.0,18.50631132509919,0.45462071338182825,0.4754441252986193,-0.020823411916791046,90,0.12571357085826085
2800.0,20.17189755925049,0.46465164969257117,0.5001669182578186,-0.03551526856524739,90,0.12571357085826085
2800.0,21.98738819383367,0.46535618378676685,0.5244041892872519,-0.059048005500485,90,0.12571357085826085
2800.0,23.966274772431408,0.4799876882563284,0.548055165292833,-0.06806747703650462,90,0.12571357085826085
2800.0,26.123263090828015,0.4862774629625893,0.5710275605818259,-0.08475009761923663,90,0.12571357085826085
2800.0,28.474382480902506,0.5344871737536764,0.5932392229605215,-0.05875204920684507,90,0.12571357085826085
2800.0,31.037104930180035,0.5630623874763272,0.6146194714606916,-0.05155708398436443,90,0.12571357085826085
2800.0,33.83047492225976,0.5843012904892414,0.6351100197868421,-0.05080872929760072,90,0.12571357085826085
2800.0,36.875250963009485,0.5913613589341041,0.6546654349583884,-0.06330407602428423,90,0.12571357085826085
2800.0,40.194059844256586,0.5929924095629976,0.6732531305768763,-0.08026072101387871,90,0.12571357085826085
2800.0,43.81156479136355,0.5934604378007997,0.6908529337878483,-0.09739249598704858,90,0.12571357085826085
2800.0,47.75464874425019,0.5951496846763941,0.707456292400365,-0.11230660772397094,90,0.12571357085826085
2800.0,52.05261413388882,0.5954453716137588,0.7230652039840033,-0.12761983237024455,90,0.12571357085826085
2800.0,56.737400638880295,0.596849422294218,0.7376909536372486,-0.14084153134303057,90,0.12571357085826085
2800.0,61.8438225403361,0.5988109433564504,0.7513527437594766,-0.15254180040302623,90,0.12571357085826085
2800.0,67.40982743893404,0.5990166191761769,0.7640762900159465,-0.16505967083976958,90,0.12571357085826085
2800.0,73.47677825676274,0.5990166191761769,0.7758924450899847,-0.1768758259138078,90,0.12571357085826085
2800.0,80.08976061961063,0.5990166191761769,0.78683589776359,-0.1878192785874131,90,0.12571357085826085
2800.0,87.29791790396244,0.5991902283238195,0.7969439809127836,-0.1977537525889641,90,0.12571357085826085
2800.0,95.15481643855642,0.5998323620693993,0.8062556092391673,-0.206423247169768,90,0.12571357085826085
2800.0,103.71884357443969,0.6001792255030868,0.8148103566453136,-0.21463113114222687,90,0.12571357085826085
2800.0,113.05364158172193,0.6014480181580425,0.822647674398131,-0.22119965624008853,90,0.12571357085826085
2800.0,123.22858059746237,0.6014480181580425,0.8298062446346451,-0.22835822647660264,90,0.12571357085826085
2800.0,134.3192741393338,0.6014575268946908,0.8363234591837074,-0.23486593228901664,90,0.12571357085826085
2800.0,146.40814101602186,0.6020291358458089,0.8422350108288947,-0.24020587498308588,90,0.12571357085826085
